,text,created_at,id_str,user_id,user_location,user_followers_count,user_friends_count,user_favourites_count,retweet_count,favorite_count,label
0,Obama should want to promote Health and Well-being for Mother and Child by looking for cure of Zika virus&amp; not death https://t.co/fcJXP51Whm,Tue Jun 28 03:22:04 +0000 2016,747631121144307712,32466532,Florida- U.S.,224,427,94,0,0,cure
1,RT @LabManager: Saint Louis University to launch human #vaccine trial for #Zika: https://t.co/peQoiPvgb3 https://t.co/sDCQpWaOom,Tue Jun 28 03:25:42 +0000 2016,747632037259943937,249427725,"Brisbane, Australia",295,297,404,0,0,cure
2,Antibodies to dengue may alter course of Zika virus infection https://t.co/EsCotLiJ4N https://t.co/saYpQFDedP,Tue Jun 28 04:06:05 +0000 2016,747642198913605636,2782211491,"London, England",76849,59468,621,0,0,cure
3,Research #ZikaVirus #RespectForLife #HealthForAll https://t.co/Cx7pFay5Wo,Tue Jun 28 04:10:36 +0000 2016,747643334601089024,4772772998,"Mumbai, India ",496,786,4880,0,0,cure
4,RT @scienmag: Antibodies to dengue may alter course of Zika virus infection https://t.co/EsCotLiJ4N https://t.co/saYpQFDedP,Tue Jun 28 04:17:39 +0000 2016,747645109441814528,3257108269,United States,274,882,6740,0,0,cure
5,Early ultrasounds may not detect microcephaly in mothers with Zika: study #antibodies https://t.co/xOOJkq3gL9,Tue Jun 28 04:20:01 +0000 2016,747645706186465280,2863594261,"San Antonio, TX, USA",82,213,2,0,0,cure
6,#EmergentBioSolutions : lands $22 million order to make Zika vaccine candidate . Read more: https://t.co/ZNjQUkAPat $EBS,Tue Jun 28 04:20:23 +0000 2016,747645797488013312,4852930527,"San Mateo, CA",434,2,0,0,0,cure
7,#EmergentBioSolutions : lands $22 million order to make Zika vaccine candidate . Read more: https://t.co/B7f1ot4zsY $EBS,Tue Jun 28 04:20:24 +0000 2016,747645801611075584,4853120260,"San Mateo, CA",333,2,0,0,0,cure
8,"Antibodies to dengue may alter course of Zika virus infection: Antibodies vs dengue neutralize Zika virus, (cont) https://t.co/8gWdtZRbzw",Tue Jun 28 04:21:41 +0000 2016,747646125935558657,141938077,USA,4846,4347,25119,0,0,cure
9,RT @scienmag: Antibodies to dengue may alter course of Zika virus infection https://t.co/EsCotLiJ4N https://t.co/saYpQFDedP,Tue Jun 28 04:23:46 +0000 2016,747646649523134464,563537199,,358,414,647,0,0,cure
10,RT @TechCrunch: Can the smartphone cure Zika? https://t.co/z0ZgdKojDr by @shawndubravac https://t.co/zrL55nV6ie,Tue Jun 28 04:26:06 +0000 2016,747647234863472644,591017088,"Phase65, Inc., Dublin, NH USA",14816,14537,1376,0,0,cure
11,RT @scienmag: Antibodies to dengue may alter course of Zika virus infection https://t.co/EsCotLiJ4N https://t.co/saYpQFDedP,Tue Jun 28 04:30:44 +0000 2016,747648404596080641,2975339066,,38,138,251,0,0,cure
12,RT @scienmag: Antibodies to dengue may alter course of Zika virus infection https://t.co/EsCotLiJ4N https://t.co/saYpQFDedP,Tue Jun 28 04:31:35 +0000 2016,747648616018378752,581024326,"Longmont, CO",339,534,1169,0,0,cure
13,One step closer to a Zika vaccine https://t.co/XvjxlsJLFH via https://t.co/vlrSmT3TDA,Tue Jun 28 04:35:45 +0000 2016,747649664380444672,709384622853988352,,11,54,2,0,0,cure
14,Emergent BioSolutions lands $22 million order to make Zika vaccine candidate https://t.co/q2Rd9oqaqG,Tue Jun 28 04:46:14 +0000 2016,747652303432355840,2217311310,,23,4,6,0,0,cure
15,RT @scienmag: Antibodies to dengue may alter course of Zika virus infection https://t.co/EsCotLiJ4N https://t.co/C3grK1l3MW,Tue Jun 28 04:54:32 +0000 2016,747654390849351681,134138912,on earth *LOL*,155,250,4742,0,0,cure
16,RT @scienmag: Antibodies to dengue may alter course of Zika virus infection https://t.co/EsCotLiJ4N https://t.co/saYpQFDedP,Tue Jun 28 04:55:28 +0000 2016,747654628037246976,1852499850,"Colorado, USA",124,190,68,0,0,cure
17,RT @medical_xpress: #Antibodies to dengue may alter course of Zika virus #infection https://t.co/cPcBQMereJ @EmoryUniversity,Tue Jun 28 05:13:41 +0000 2016,747659213002936321,25927619,#Genève #Geneva or #Tokyo #Japan,2241,1091,1167,0,0,cure
18,First Zika Vaccine Ready for Human Trials https://t.co/rwJrYR7ASx @BiotechLicense,Tue Jun 28 05:15:35 +0000 2016,747659691640094720,239001029,,36,0,0,0,0,cure
19,RT @scienmag: Antibodies to dengue may alter course of Zika virus infection https://t.co/EsCotLiJ4N https://t.co/saYpQFDedP,Tue Jun 28 05:17:24 +0000 2016,747660146684399616,313845173,"Sydney, Australia",446,951,5926,0,0,cure
20,World: HHS calls on center for innovation to accelerate Zika vaccine development https://t.co/eBUMvOkgn0,Tue Jun 28 05:17:25 +0000 2016,747660151847522304,2734103126,Sby/Jkt/KL/S'pore,5234,310,210,0,0,cure
21,Antibodies to dengue may alter course of Zika virus infection https://t.co/jKNpsG0thI via @medical_xpress,Tue Jun 28 05:18:12 +0000 2016,747660346496802817,277796372,CA,740,3485,1159,0,0,cure
