,text,created_at,id_str,user_id,user_location,user_followers_count,user_friends_count,user_favourites_count,retweet_count,favorite_count,label
0,"RT @JohnDesMarteau: May I add $1.9 billion to combat Zika? For perspective the latest aircraft carrier, the Gerald R. Ford cost $12.8B. htt…",Sun Jun 26 11:50:57 +0000 2016,747034411976232960,3179207340,,1295,1063,48464,0,0,prevention
1,RT @AmericanGolf: More PGA players pulling out of Rio Olympics over Zika concern https://t.co/u68Ie9ho5u,Sun Jun 26 12:01:04 +0000 2016,747036955460931584,3382933769,UK/USA/Worldwide,696,557,130,0,0,prevention
2,Many Texas Counties Ill-Equipped for Zika Fight – https://t.co/Gq5YXcobGu #zika,Sun Jun 26 12:01:10 +0000 2016,747036984082829312,2367287677,,18,9,0,0,0,prevention
3,"The Administration is taking steps to combat #ZikaVirus. We also need Congress to act. 

https://t.co/WbKYGBWzhm https://t.co/mT8Ox8xfjg",Sun Jun 26 12:25:27 +0000 2016,747043095095566336,3434950989,,4,43,18,0,0,prevention
4,These #mosquitos could be the best idea to fight the #Zika #virus https://t.co/pRgthYn3lW,Sun Jun 26 12:30:26 +0000 2016,747044349414866944,197185320,United States,6433,5364,5224,0,0,prevention
5,Jordan Spieth planning to skip golf's return to Olympics because of Zika concern?: After Rory McIlroy made hi... https://t.co/WkZyt0NJId,Sun Jun 26 12:35:37 +0000 2016,747045652941574147,2914258977,,614,568,0,0,0,prevention
6,"@AAPCC @CDCgov,key to bring prevention of #Zika /other #mosquito borne disease home. Journey to #publicichealth  does not end at the  border",Sun Jun 26 15:36:23 +0000 2016,747091143070932992,627069373,"Virginia, USA",59,85,45,0,0,prevention
7,RT @Denis44: Congress's proposal to combat Zika is 4 months late &amp; about a billion dollars short. Effects are already being felt: https://t…,Sun Jun 26 15:47:41 +0000 2016,747093987740131328,42782011,silicon valley,1442,1546,362,0,0,prevention
8,Men need to #StopZika too. You can protect yourself from Zika by using condoms: https://t.co/h8czg57iQ6 #MensHealthMonth,Sun Jun 26 15:57:10 +0000 2016,747096375528140800,1286298061,Delaware,1915,425,1083,0,0,prevention
9,"RT @cnntech: .@Microsoft is testing a new mosquito trap to fight Zika. Can it be a ""game-changer""? 
https://t.co/HtRkeJmxCr $MSFT https://t…",Sun Jun 26 16:00:09 +0000 2016,747097124634927105,88562662,"Gilbert, AZ",277,281,1222,0,0,prevention
10,RT @marcorubio: Met today with @repcurbelo to discuss need to fund fight against #Zika https://t.co/ZdjmSpyA8P https://t.co/7sroyX4yq6,Sun Jun 26 16:02:02 +0000 2016,747097599576969216,106825805,,29,69,231,0,0,prevention
